cutoff	recall_rate	false_positive
0.0001	0.9915035223329659	0.008496457867263236
0.00025	0.9915011919770507	0.00849878821774795
0.0005	0.9915011919770507	0.00849878821774795
0.001	0.9918740489234921	0.008125932140193885
0.005	0.9935169498437496	0.00648303504847129
0.01	0.9940412799246829	0.005958706189410887
0.025	0.9947357259874301	0.005264261744966443
0.05	0.9951784936113293	0.004821495152870992
0.1	0.9953672524404652	0.004632736763609247
0.2	0.9952786989156854	0.004721290082028337
0.5	0.9934913159286818	0.006508668903803132
