cutoff	recall_rate	false_positive
0.0001	0.8648867313915858	0.13510546084946548
0.00025	0.8648867313915858	0.13510546084946548
0.0005	0.8648867313915858	0.13510546084946548
0.001	0.8654646324549237	0.1345275931811615
0.005	0.8697411003236246	0.13025137243571222
0.01	0.8737864077669902	0.12620629875758452
0.025	0.8805478502080444	0.1194452470384282
0.05	0.8863846509477578	0.11360878358855822
0.1	0.8912968099861304	0.10869690840797458
0.2	0.8950531668978271	0.10494076856399884
0.5	0.9010633379565418	0.09893094481363768
