cutoff	recall_rate	false_positive
0.0001	0.9915234678248463	0.008476512414034269
0.00025	0.9915234678248463	0.008476512414034269
0.0005	0.9915211365453702	0.008478843688075534
0.001	0.9918941412615486	0.008105839841473365
0.005	0.9935306994537813	0.006469285464506353
0.01	0.9940575686153832	0.0059424175311807905
0.025	0.9947546211787416	0.005245366592842989
0.05	0.9951952329997272	0.004804755799044178
0.1	0.9953817353578164	0.004618253875743094
0.2	0.9952908154582479	0.004709173563352372
0.5	0.9935003928205918	0.006499592027042779
