cutoff	recall_rate	false_positive
0.0001	0.9875755525907418	0.012424442456682467
0.00025	0.9875759512062704	0.012424043841312815
0.0005	0.987576349821799	0.012423645225943164
0.001	0.987542068886344	0.012457926147733233
0.005	0.9881415866412775	0.011858408631776661
0.01	0.9885298381660815	0.011470157261735635
0.025	0.9890436535823777	0.010956342050254237
0.05	0.9894422691109239	0.01055772668060226
0.1	0.9898062050884867	0.010193790848110005
0.2	0.990180106454263	0.009819889631376451
0.5	0.990709866491701	0.009290129805108974
