cutoff	recall_rate	false_positive
0.0001	0.9732947976878613	0.026704945039065134
0.00025	0.9732947976878613	0.026704945039065134
0.0005	0.9732947976878613	0.026704945039065134
0.001	0.973150289017341	0.026849452317415055
0.005	0.9728131021194605	0.0271866359668982
0.01	0.9728612716763005	0.02713846687411489
0.025	0.973121387283237	0.026878353773085038
0.05	0.9734778420038536	0.026521902486488568
0.1	0.9739884393063584	0.02601131010298552
0.2	0.9744701348747592	0.025529619175152455
0.5	0.9752601156069364	0.024739646053506228
