cutoff	recall_rate	FDR
0.0001	0.9896217000407743	0.010378276579831857
0.00025	0.9898289506585839	0.010171026428899681
0.0005	0.9898627415201833	0.010137235643421609
0.001	0.989973125001408	0.010026852410859908
0.005	0.9900204322076471	0.009979545311190607
0.01	0.9900474648969266	0.009952512682808149
0.025	0.9901285629647651	0.009871414797660776
0.05	0.9900902666549525	0.009909711021202592
0.1	0.9899888940701543	0.010011083377636808
0.2	0.9897005453845062	0.010299431413716356
0.5	0.988785939397216	0.011214035340656172
