cutoff	recall_rate	false_positive
0.0001	0.9354892873568224	7.563407536179269e-06
0.00025	0.9357755746837096	5.525425828573954e-06
0.0005	0.935910826396127	5.524627334809281e-06
0.001	0.9360975118583368	6.104945761917581e-06
0.005	0.9364191768967216	4.940407066293288e-06
0.01	0.9365865406857289	5.520641533413393e-06
0.025	0.9367873772325377	5.809954078122966e-06
0.05	0.9369152812664132	5.228247874717239e-06
0.1	0.9370472673439231	6.0987580605252365e-06
0.2	0.9371011503198962	5.808008721305896e-06
0.5	0.9370559757036763	5.517875884965647e-06
