cutoff	recall_rate	false_positive
0.0001	0.9876544546932899	0.012345535021781092
0.00025	0.9876736157393831	0.012326373991650789
0.0005	0.9876794473621071	0.012320542373785045
0.001	0.9876902775185945	0.012309712226320092
0.005	0.9877119378315694	0.012288051931390183
0.01	0.9877335981445443	0.012266391636460275
0.025	0.9877619231692037	0.012238066635398087
0.05	0.9877777518594546	0.012222237958333923
0.1	0.987782750393218	0.012217239428734714
0.2	0.9878044107061928	0.012195579133804806
0.5	0.9878260710191678	0.012173918838874897
