cutoff	recall_rate	FDR
0.0001	0.9889082525911691	0.011091739137567691
0.00025	0.98892614972293	0.0110738420191529
0.0005	0.988932115433517	0.011067876313014636
0.001	0.9889425554270442	0.011057436327272673
0.005	0.9889634354140986	0.011036556355788749
0.01	0.9889828239735062	0.01101716781083939
0.025	0.989008178243501	0.010991813559751767
0.05	0.9890216010923216	0.010978390720940673
0.1	0.9890253296614384	0.010974662154604258
0.2	0.9890462096484929	0.010953782183120334
0.5	0.9890618696387837	0.01093812220450739
