cutoff	recall_rate	false_positive
0.0001	0.9265507560211006	8.152007771580743e-05
0.00025	0.9265507560211006	8.152007771580743e-05
0.0005	0.9265507560211006	8.152007771580743e-05
0.001	0.926500396580594	7.473130698262157e-05
0.005	0.9278475116141459	7.462281558667101e-05
0.01	0.9289931888856715	4.742997303267248e-05
0.025	0.9304976771708067	4.058880831258794e-05
0.05	0.9320525248964484	4.052110136353506e-05
0.1	0.9333807551398104	2.697599136768276e-05
0.2	0.9346712158027924	3.367320824858909e-05
0.5	0.9365848745420439	6.720655936019356e-05
